Area (km2);Width (km);Attached/Fan-type;Fans;Plot-types;Equation;;;;
;0.37;1;;;;;;;
;0.14;1;;;;;;;
;0.21;1;;;;;;;
;1.17;1;;;;;;;
;0.55;1;;;;;;;
;0.27;1;;;;;;;
;0.26;1;;;;;;;
;0.06;1;;;;;;;
;0.10;1;;;;;;;
;0.42;1;;;;;;;
;0.19;1;;;;;;;
;1.27;1;;;;;;;
;0.25;1;;;;;;;
;1.10;1;;;;;;;
;0.52;1;;;;;;;
;0.66;1;;;;;;;
;0.60;1;;;;;;;
;0.40;1;;;;;;;
;0.28;1;;;;;;;
;0.92;1;;;;;;;
;0.17;1;;;;;;;
;1.18;1;;;;;;;
;0.57;1;;;;;;;
;0.70;1;;;;;;;
;0.20;1;;;;;;;
;0.42;1;;;;;;;
;0.27;1;;;;;;;
;0.20;1;;;;;;;
;0.42;1;;;;;;;
;0.05;1;;;;;;;
;0.04;1;;;;;;;
;0.07;1;;;;;;;
;0.36;1;;;;;;;
;0.18;1;;;;;;;
;0.71;1;;;;;;;
;0.14;1;;;;;;;
;0.39;1;;;;;;;
;1.38;1;;;;;;;
;0.15;1;;;;;;;
;0.74;1;;;;;;;
;0.66;1;;;;;;;
;0.17;1;;;;;;;
;0.95;1;;;;;;;
;0.70;1;;;;;;;
;0.35;1;;;;;;;
;0.38;1;;;;;;;
;1.28;1;;;;;;;
;0.25;1;;;;;;;
;0.91;1;;;;;;;
;0.80;1;;;;;;;
;0.81;1;;;;;;;
;1.44;1;;;;;;;
;0.69;1;;;;;;;
;1.15;1;;;;;;;
;0.12;1;;;;;;;
;0.69;1;;;;;;;
;0.34;1;;;;;;;
;0.60;1;;;;;;;
;0.40;1;;;;;;;
;0.43;1;;;;;;;
;0.19;1;;;;;;;
;0.05;1;;;;;;;
;0.11;1;;;;;;;
;0.16;1;;;;;;;
;0.11;1;;;;;;;
;1.30;1;;;;;;;
;2.07;1;;;;;;;
;1.28;1;;;;;;;
;1.93;1;;;;;;;
